CustomerID,Name,Age,Email,PurchaseAmount,gander,lol,hoh
1,Eva,25,,400.25,male
2,Bob,45,eva@example.com,400.25,female
3,Eva,,alice@example.com,
4,David,40,eva@example.com,300.0
5,,45,eva@example.com,
6,Bob,30,bob@example.com,300.0
7,Alice,45,alice@example.com,100.5
8,Alice,40,bob@example.com,300.0
9,Alice,25,eva@example.com,200.75
10,,45,alice@example.com,300.0
11,David,35,david@example.com,100.5
12,Bob,25,alice@example.com,500.5
13,Eva,,alice@example.com,300.0
14,Eva,40,charlie@example.com,500.5
15,,,,100.5
16,,,alice@example.com,100.5
17,Alice,40,david@example.com,300.0
18,Bob,30,,
19,,40,bob@example.com,100.5
20,David,25,charlie@example.com,100.5
21,David,,eva@example.com,200.75
22,Eva,,bob@example.com,200.75
23,Charlie,45,david@example.com,400.25
24,Charlie,45,eva@example.com,100.5
25,,40,bob@example.com,400.25
26,Eva,25,david@example.com,
27,Alice,,alice@example.com,500.5
28,Alice,30,alice@example.com,300.0
29,Bob,30,charlie@example.com,400.25
30,David,40,charlie@example.com,
31,,30,,500.5
32,Eva,35,bob@example.com,
33,Bob,,alice@example.com,
34,Alice,30,david@example.com,
35,Charlie,40,,
36,Alice,25,,100.5
37,,40,eva@example.com,400.25
38,Eva,30,,
39,Charlie,25,david@example.com,400.25
40,,35,alice@example.com,200.75
41,Alice,35,david@example.com,500.5
42,Eva,25,eva@example.com,
43,David,40,,
44,David,45,charlie@example.com,400.25
45,Charlie,45,charlie@example.com,500.5
46,Eva,40,,400.25
47,,30,,100.5
48,Bob,40,alice@emple.com,500.5
50,Alice,30,alice@example.com,
51,David,,eva@example.com,300.0
52,Alice,30,,
53,Eva,,eva@example.com,200.75
54,,25,,100.5
55,David,45,charlie@example.com,200.75
56,,30,,500.5
57,David,40,alice@example.com,200.75
58,Charlie,40,,200.75
59,Charlie,,,200.75xample.com,100.5
49,Eva,40,eva@exa
60,,40,charlie@example.com,300.0
61,Charlie,30,charlie@example.com,400.25
62,Bob,,alice@example.com,500.5
63,Alice,45,,100.5
64,Charlie,35,alice@example.com,200.75
65,Alice,40,,
66,Eva,,alice@example.com,200.75
67,Eva,25,charlie@example.com,300.0
68,Eva,40,,100.5
69,Eva,25,david@example.com,200.75
70,David,25,eva@example.com,200.75
71,David,35,charlie@example.com,300.0
